Paraiba,,,
12,,,
 Partido do Movimento Democrático Brasileiro (PMDB) ,441731,22.8,3
 Partido da Social Democracia Brasileira (PSDB) ,241038,12.4,1
 Partido Progressista (PP) ,175699,9.1,1
 Partido dos Trabalhadores (PT) ,132973,6.9,1
 Partido Trabalhista Brasileiro (PTB) ,116547,6,1
 Democratas (DEM) ,107618,5.6,1
 Partido da República (PR) ,107525,5.6,1
 Partido Social Democrático (PSD) ,88719,4.6,1
 Partido Democrático Trabalhista (PDT) ,84758,4.4,1
 Solidariedade (SD) ,64479,3.3,1
 Partido Socialista Brasileiro (PSB) ,106305,5.5,0
 Partido Social Cristão (PSC) ,64018,3.3,0
 Partido Socialismo e Liberdade (PSOL) ,60910,3.1,0
 Partido Republicano Brasileiro (PRB) ,36892,1.9,0
 Partido Trabalhista Nacional (PTN) ,27567,1.4,0
 Partido Trabalhista do Brasil (PT do B) ,15536,0.8,0
 Partido Renovador Trabalhista Brasileiro (PRTB) ,9834,0.5,0
 Partido Social Liberal (PSL) ,7641,0.4,0
 Partido Republicano da Ordem Social (PROS) ,7391,0.4,0
 Partido Humanista da Solidariedade (PHS) ,6680,0.3,0
 Partido Popular Socialista (PPS) ,4846,0.3,0
 Partido Comunista do Brasil (PC do B) ,4808,0.2,0
 Partido da Mobilização Nacional (PMN) ,4773,0.2,0
 Partido Verde (PV) ,4545,0.2,0
 Partido Ecológico Nacional (PEN) ,4498,0.2,0
 Partido Republicano Progressista (PRP) ,4197,0.2,0
 Partido Pátria Livre (PPL) ,2706,0.1,0
 Partido Social Democrata Cristão (PSDC) ,942,0,0
 Partido da Causa Operária (PCO) ,851,0,0
 Partido Trabalhista Cristão (PTC) ,792,0,0
